word,meaning,source_sentence,target_sentence,input_text,target_text
Bà tám,"Người nhiều chuyện, thích buôn chuyện, tọc mạch chuyện người khác.","Cái tính bà tám của bả ai mà không rành, chuyện nhà người ta bả biết ráo.","Cái tính tọc mạch của bà ấy ai mà chẳng biết, chuyện nhà người ta bà ấy biết sạch.","Bà tám [SEP] Người nhiều chuyện, thích buôn chuyện, tọc mạch chuyện người khác. [SEP] Cái tính bà tám của bả ai mà không rành, chuyện nhà người ta bả biết ráo.","Cái tính tọc mạch của bà ấy ai mà chẳng biết, chuyện nhà người ta bà ấy biết sạch."
Ra ràng,"Vừa trưởng thành, mới vào đời","Cái kiểu ra ràng đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu vừa trưởng thành đó quen lắm rồi, ai ở đây cũng biết.","Ra ràng [SEP] Vừa trưởng thành, mới vào đời [SEP] Cái kiểu ra ràng đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu vừa trưởng thành đó quen lắm rồi, ai ở đây cũng biết."
Bà đánh thánh đâm Bà đánh thánh vật,"Lời nguyền rủa, đáng ghét",Sáng ngày gặp thứ đồ bà đánh thánh đâm,Sáng ngày ra gặp cái thứ chết tiệt,"Bà đánh thánh đâm Bà đánh thánh vật [SEP] Lời nguyền rủa, đáng ghét [SEP] Sáng ngày gặp thứ đồ bà đánh thánh đâm",Sáng ngày ra gặp cái thứ chết tiệt
Nhặm,"Nhanh nhẹn, tháo vát mắn đẻ.",Thằng anh thì nhặm lẹ,Thằng anh thì tháo vát,"Nhặm [SEP] Nhanh nhẹn, tháo vát mắn đẻ. [SEP] Thằng anh thì nhặm lẹ",Thằng anh thì tháo vát
Sa bô chê,Quả hồng xiêm,Bổ sa bô chê phải bổ ngang trái để tránh hột.,Bổ hồng xiêm phải bổ ngang quả để tránh hạt.,Sa bô chê [SEP] Quả hồng xiêm [SEP] Bổ sa bô chê phải bổ ngang trái để tránh hột.,Bổ hồng xiêm phải bổ ngang quả để tránh hạt.
Cá lẹp,Từ lóng chỉ trực thăng tấn công của Mỹ vì có thân mình dẹp,Hai đường khói đen từ con cá lẹp ở xa kia đang cắm xuống,Hai vệt khói từ chiếc trực thăng phía xa đang lao xuống,Cá lẹp [SEP] Từ lóng chỉ trực thăng tấn công của Mỹ vì có thân mình dẹp [SEP] Hai đường khói đen từ con cá lẹp ở xa kia đang cắm xuống,Hai vệt khói từ chiếc trực thăng phía xa đang lao xuống
Giúc giắc,"Trục trặc, không suôn sẻ hoặc lưỡng lự, do dự","Tính nó từ xưa giờ cứ hay giúc giắc như thế, nên có làm được chuyện gì lớn đâu",Tính nó xưa nay cứ hay do dự như thế nên chẳng làm được việc gì lớn,"Giúc giắc [SEP] Trục trặc, không suôn sẻ hoặc lưỡng lự, do dự [SEP] Tính nó từ xưa giờ cứ hay giúc giắc như thế, nên có làm được chuyện gì lớn đâu",Tính nó xưa nay cứ hay do dự như thế nên chẳng làm được việc gì lớn
Ngay băng (bân,"Thẳng băng, rất thẳng, đúng phóc, chính xác tuyệt đối.",Tui đoán ngay băng,Tôi đoán trúng phóc,"Ngay băng (bân [SEP] Thẳng băng, rất thẳng, đúng phóc, chính xác tuyệt đối. [SEP] Tui đoán ngay băng",Tôi đoán trúng phóc
Bịnh con nít,"Bệnh nhi, bệnh của trẻ con",Ba cái bịnh con nít có gì đâu mà lo,Vài ba cái bệnh trẻ con có gì đâu mà lo,"Bịnh con nít [SEP] Bệnh nhi, bệnh của trẻ con [SEP] Ba cái bịnh con nít có gì đâu mà lo",Vài ba cái bệnh trẻ con có gì đâu mà lo
Cốt đột,Từ mắng yêu hoặc rầy la nhẹ bọn trẻ con quậy phá,"Mấy cái thằng cốt đột này nó giỡn um sùm, tao không làm được gì cả",Mấy đứa tiểu yêu này nô đùa ầm ĩ làm tao không làm được việc gì cả,"Cốt đột [SEP] Từ mắng yêu hoặc rầy la nhẹ bọn trẻ con quậy phá [SEP] Mấy cái thằng cốt đột này nó giỡn um sùm, tao không làm được gì cả",Mấy đứa tiểu yêu này nô đùa ầm ĩ làm tao không làm được việc gì cả
Trấm trất Trậm trật,Trơ trơ Trục trặc,"Tao học được cái trấm trất này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái trơ trơ này từ hồi nhỏ, giờ vẫn nhớ.","Trấm trất Trậm trật [SEP] Trơ trơ Trục trặc [SEP] Tao học được cái trấm trất này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái trơ trơ này từ hồi nhỏ, giờ vẫn nhớ."
Dày trạt,"Dày khít, rất nhiều và rất sít",Cây quýt trái ra dày trạt,Cây quýt quả sai trĩu trịt,"Dày trạt [SEP] Dày khít, rất nhiều và rất sít [SEP] Cây quýt trái ra dày trạt",Cây quýt quả sai trĩu trịt
Chả lụa,Giò lụa (thịt heo nạc giã nhuyễn hấp chín),Một số người thích ăn chả lụa với bánh mì,Nhiều người thích ăn bánh mì kẹp giò lụa,Chả lụa [SEP] Giò lụa (thịt heo nạc giã nhuyễn hấp chín) [SEP] Một số người thích ăn chả lụa với bánh mì,Nhiều người thích ăn bánh mì kẹp giò lụa
É (sợ),"Sợ, khiếp, không yên tâm","Tiêm thuốc có một lần là thằng nhỏ é luôn, mỗi khi nhìn thấy lại ông thầy thuốc",Tiêm thuốc có một lần là thằng bé sợ khiếp luôn mỗi khi nhìn thấy bác sĩ,"É (sợ) [SEP] Sợ, khiếp, không yên tâm [SEP] Tiêm thuốc có một lần là thằng nhỏ é luôn, mỗi khi nhìn thấy lại ông thầy thuốc",Tiêm thuốc có một lần là thằng bé sợ khiếp luôn mỗi khi nhìn thấy bác sĩ
Bứt dây đánh tuốt,"Thực hiện tới cùng, chơi xả láng","Bứt dây đánh tuốt đi, có gì mà phải lo","Chơi tới bến đi, có gì mà phải lo","Bứt dây đánh tuốt [SEP] Thực hiện tới cùng, chơi xả láng [SEP] Bứt dây đánh tuốt đi, có gì mà phải lo","Chơi tới bến đi, có gì mà phải lo"
Chà rà chạc rạc,"Chộn rộn, lăng xăng không yên","Con cứ chà rà chạc rạc bên mẹ, làm sao mẹ làm việc?",Con cứ lăng xăng bên cạnh thế này thì sao mẹ làm việc được?,"Chà rà chạc rạc [SEP] Chộn rộn, lăng xăng không yên [SEP] Con cứ chà rà chạc rạc bên mẹ, làm sao mẹ làm việc?",Con cứ lăng xăng bên cạnh thế này thì sao mẹ làm việc được?
Lòn,"Lách qua, luồn qua đi cửa sau (lén lút).","Chờ ba má ngủ, em bước lòn cửa sau.","Chờ bố mẹ ngủ, em bước luồn cửa sau.","Lòn [SEP] Lách qua, luồn qua đi cửa sau (lén lút). [SEP] Chờ ba má ngủ, em bước lòn cửa sau.","Chờ bố mẹ ngủ, em bước luồn cửa sau."
Bợ hơi,Dựa hơi kẻ mạnh để bắt nạt hoặc nịnh hót,"Hắn ta chỉ là kẻ bợ hơi, dụng chuyện thì hắn ta cũng rút",Hắn chỉ biết cậy thế người khác để dọa dẫm hàng xóm,"Bợ hơi [SEP] Dựa hơi kẻ mạnh để bắt nạt hoặc nịnh hót [SEP] Hắn ta chỉ là kẻ bợ hơi, dụng chuyện thì hắn ta cũng rút",Hắn chỉ biết cậy thế người khác để dọa dẫm hàng xóm
Vang rân,"Vang động, lan truyền xa",Tiếng mõ kêu vang rân cả huyện.,Tiếng mõ kêu vang dậy cả huyện.,"Vang rân [SEP] Vang động, lan truyền xa [SEP] Tiếng mõ kêu vang rân cả huyện.",Tiếng mõ kêu vang dậy cả huyện.
Liếc dọc,Đưa mắt nhìn quanh,Vô nhà người ta mà cặp mắt nó liếc dọc hoài,Vào nhà người ta mà cặp mắt nó dáo dác mãi,Liếc dọc [SEP] Đưa mắt nhìn quanh [SEP] Vô nhà người ta mà cặp mắt nó liếc dọc hoài,Vào nhà người ta mà cặp mắt nó dáo dác mãi
Quá hớp,"Vượt mức, quá đà (nhất là rượu bia)","Hổm rày nó cứ quá hớp hoài, có chuyện gì vậy?","Dạo này nó cứ vượt mức mãi, có chuyện gì vậy?","Quá hớp [SEP] Vượt mức, quá đà (nhất là rượu bia) [SEP] Hổm rày nó cứ quá hớp hoài, có chuyện gì vậy?","Dạo này nó cứ vượt mức mãi, có chuyện gì vậy?"
Gò mèo,"O mèo, tán tỉnh phụ nữ",Mấy thằng đó chỉ có giỏi gò mèo chớ làm được việc gì,Mấy anh chàng đó chỉ giỏi tán gái chứ chẳng làm được việc gì nên hồn,"Gò mèo [SEP] O mèo, tán tỉnh phụ nữ [SEP] Mấy thằng đó chỉ có giỏi gò mèo chớ làm được việc gì",Mấy anh chàng đó chỉ giỏi tán gái chứ chẳng làm được việc gì nên hồn
Vẹo Vẹo ne ngoe,Rất nhiều Cong lệch,Nhà tui ở trong cái xẻo vẹo ne đó.,Nhà tôi ở trong cái ngách cong vẹo đó.,Vẹo Vẹo ne ngoe [SEP] Rất nhiều Cong lệch [SEP] Nhà tui ở trong cái xẻo vẹo ne đó.,Nhà tôi ở trong cái ngách cong vẹo đó.
Lưỡi bào,Dao gọt hoa quả lưỡi lam (dao lam).,Cầm cái lưỡi bào coi chừng đứt tay,Cầm cái dao lam coi chừng đứt tay,Lưỡi bào [SEP] Dao gọt hoa quả lưỡi lam (dao lam). [SEP] Cầm cái lưỡi bào coi chừng đứt tay,Cầm cái dao lam coi chừng đứt tay
Háp,"Khô héo, lép, còi cọc mất nhựa sống khả năng sinh trưởng.",Buồng chuối này bị háp rồi... để cũng không phát triển được nữa đâu.,Buồng chuối này bị thui lép rồi... cứ để đó cũng không lớn được nữa đâu.,"Háp [SEP] Khô héo, lép, còi cọc mất nhựa sống khả năng sinh trưởng. [SEP] Buồng chuối này bị háp rồi... để cũng không phát triển được nữa đâu.",Buồng chuối này bị thui lép rồi... cứ để đó cũng không lớn được nữa đâu.
Thím Xiếm,Vợ của chú,"Thằng Tèo giải thích cho tụi nhỏ nghe về thím, tụi nhỏ gật gù.","Thằng Tèo giải thích cho bọn nhỏ nghe về vợ của chú, bọn nhỏ gật gù.","Thím Xiếm [SEP] Vợ của chú [SEP] Thằng Tèo giải thích cho tụi nhỏ nghe về thím, tụi nhỏ gật gù.","Thằng Tèo giải thích cho bọn nhỏ nghe về vợ của chú, bọn nhỏ gật gù."
Óp rọp,"1. Teo tóp, xẹp lép do héo.2. Gầy rộc đi do ốm đau.",Mới bịnh có vài ngày là thấy người ảnh óp rọp rồi.,Mới ốm có vài ngày mà nhìn anh ấy đã gầy rộc đi rồi.,"Óp rọp [SEP] 1. Teo tóp, xẹp lép do héo.2. Gầy rộc đi do ốm đau. [SEP] Mới bịnh có vài ngày là thấy người ảnh óp rọp rồi.",Mới ốm có vài ngày mà nhìn anh ấy đã gầy rộc đi rồi.
Đìa,Ao đào sâu có bờ chắn giữ nước để nuôi cá,"Chim bay về cội, cá lội về đìa","Chim bay về tổ, cá bơi về ao","Đìa [SEP] Ao đào sâu có bờ chắn giữ nước để nuôi cá [SEP] Chim bay về cội, cá lội về đìa","Chim bay về tổ, cá bơi về ao"
Quân cảnh,Cảnh sát quân đội (chế độ cũ),Hồi đó ổng làm quân cảnh.,Ngày xưa ông ấy làm cảnh sát quân đội.,Quân cảnh [SEP] Cảnh sát quân đội (chế độ cũ) [SEP] Hồi đó ổng làm quân cảnh.,Ngày xưa ông ấy làm cảnh sát quân đội.
Sếp sòng,"Người đứng đầu, kẻ cầm đầu","Tao học được cái sếp sòng này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái người đứng đầu này từ hồi nhỏ, giờ vẫn nhớ.","Sếp sòng [SEP] Người đứng đầu, kẻ cầm đầu [SEP] Tao học được cái sếp sòng này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái người đứng đầu này từ hồi nhỏ, giờ vẫn nhớ."
Dịu nhiu Dịu oặt,"Rất dịu, mềm dẻo hoặc mềm nhũn không còn sức lực",Cái đòn gánh dịu nhỉu như thế gánh nó mới không bị đau vai,Cái đòn gánh dẻo như thế gánh mới không bị đau vai,"Dịu nhiu Dịu oặt [SEP] Rất dịu, mềm dẻo hoặc mềm nhũn không còn sức lực [SEP] Cái đòn gánh dịu nhỉu như thế gánh nó mới không bị đau vai",Cái đòn gánh dẻo như thế gánh mới không bị đau vai
Xỉ (xỏ),Chỉ trỏ mặt người khác,Đừng có xỉ mặt người lớn nha con.,Đừng có chỉ mặt người lớn nhé con.,Xỉ (xỏ) [SEP] Chỉ trỏ mặt người khác [SEP] Đừng có xỉ mặt người lớn nha con.,Đừng có chỉ mặt người lớn nhé con.
Cà lăm,"Nói lắp, phát âm khó khăn",Việc gì đến mức phải cà lăm như vậy,Nói lắp,"Cà lăm [SEP] Nói lắp, phát âm khó khăn [SEP] Việc gì đến mức phải cà lăm như vậy",Nói lắp
Bồ xoè,Bọ xòe (côn trùng nhỏ),Bồ xoè coi vậy mà nó không hôi bằng bồ xít,Bọ xòe nhìn vậy mà không hôi bằng bọ xít,Bồ xoè [SEP] Bọ xòe (côn trùng nhỏ) [SEP] Bồ xoè coi vậy mà nó không hôi bằng bồ xít,Bọ xòe nhìn vậy mà không hôi bằng bọ xít
Xiếng niềng,Lảo đảo thất bại xiêu vẹo,Tụi bây thấy xiếng niềng không? Tao thấy từ hồi nãy rồi.,Các bạn thấy lảo đảo; thất bại xiêu vẹo không? Tớ thấy từ nãy rồi.,Xiếng niềng [SEP] Lảo đảo thất bại xiêu vẹo [SEP] Tụi bây thấy xiếng niềng không? Tao thấy từ hồi nãy rồi.,Các bạn thấy lảo đảo; thất bại xiêu vẹo không? Tớ thấy từ nãy rồi.
Mừ,"Cơ, mà (từ đệm cuối câu với hàm ý khẳng định).",Chuyện này tôi đã hỏi ý kiến ảnh rồi mừ! Không tin chị cứ hỏi lại ảnh đi.,Chuyện này tôi đã hỏi ý kiến anh ấy rồi cơ mà! Không tin chị cứ hỏi lại anh ấy đi.,"Mừ [SEP] Cơ, mà (từ đệm cuối câu với hàm ý khẳng định). [SEP] Chuyện này tôi đã hỏi ý kiến ảnh rồi mừ! Không tin chị cứ hỏi lại ảnh đi.",Chuyện này tôi đã hỏi ý kiến anh ấy rồi cơ mà! Không tin chị cứ hỏi lại anh ấy đi.
khờ khệch,"Rất khờ dại, ngây ngô, ít nói.",Thằng nhỏ khờ câm vậy mà mày còn bày chứng ăn hiếp nữa chớ.,Thằng bé khờ khạo vậy mà mày còn giở trò bắt nạt nữa chứ.,"khờ khệch [SEP] Rất khờ dại, ngây ngô, ít nói. [SEP] Thằng nhỏ khờ câm vậy mà mày còn bày chứng ăn hiếp nữa chớ.",Thằng bé khờ khạo vậy mà mày còn giở trò bắt nạt nữa chứ.
Tiền nhựt,Thời gian dạo trước,"Tiền nhựt em nói vậy, còn giờ thì sao?","Trước đây em nói thế, còn giờ thì sao?","Tiền nhựt [SEP] Thời gian dạo trước [SEP] Tiền nhựt em nói vậy, còn giờ thì sao?","Trước đây em nói thế, còn giờ thì sao?"
Chả chẹt (chim),"Chim bói cá, chim thằng chài.","Ở nông thôn mới có chả chẹt, chớ thành phố làm gì có được con.","Chỉ ở dưới quê mới có chim bói cá, chứ chốn thành phố làm gì có được hả con.","Chả chẹt (chim) [SEP] Chim bói cá, chim thằng chài. [SEP] Ở nông thôn mới có chả chẹt, chớ thành phố làm gì có được con.","Chỉ ở dưới quê mới có chim bói cá, chứ chốn thành phố làm gì có được hả con."
Quảy Quày quả,Buồng trái Lật đật,Làm gì mà quày quả về sớm vậy?,Làm gì mà vội vã về sớm thế?,Quảy Quày quả [SEP] Buồng trái Lật đật [SEP] Làm gì mà quày quả về sớm vậy?,Làm gì mà vội vã về sớm thế?
Ỷ y,"Chủ quan, lơ là",Tại mày ỷ y nên mới bị mất xe đó.,Tại cậu chủ quan nên mới bị mất xe đấy.,"Ỷ y [SEP] Chủ quan, lơ là [SEP] Tại mày ỷ y nên mới bị mất xe đó.",Tại cậu chủ quan nên mới bị mất xe đấy.
Giàn trò (),Khung nhà gỗ đã lắp ghép để chuẩn bị dựng lên,Làm cái giàn trò này thì có hơi lâu,Làm xong bộ khung nhà này là dựng lên được rồi,Giàn trò () [SEP] Khung nhà gỗ đã lắp ghép để chuẩn bị dựng lên [SEP] Làm cái giàn trò này thì có hơi lâu,Làm xong bộ khung nhà này là dựng lên được rồi
Xài xạc Xài xể,"Mắng nhiếc, nói nặng lời","Chuyện xài xạc này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện mắng nhiếc này nghe lạ nhưng thật đó, tớ chứng kiến.","Xài xạc Xài xể [SEP] Mắng nhiếc, nói nặng lời [SEP] Chuyện xài xạc này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện mắng nhiếc này nghe lạ nhưng thật đó, tớ chứng kiến."
Lứt (1),"Phắt, phứt, quách, nốt (từ đuôi nhấn mạnh).",Vứt lứt đi,Vứt quách đi,"Lứt (1) [SEP] Phắt, phứt, quách, nốt (từ đuôi nhấn mạnh). [SEP] Vứt lứt đi",Vứt quách đi
Cà rê,Kéo lê trên mặt liên tục,Mày làm gì mà lôi nó cà rê như vậy,Cậu làm gì mà cứ lôi nó xềnh xệch trên đất thế,Cà rê [SEP] Kéo lê trên mặt liên tục [SEP] Mày làm gì mà lôi nó cà rê như vậy,Cậu làm gì mà cứ lôi nó xềnh xệch trên đất thế
